Section,Pattern,Period,Jugglers,Objects,Passes,Link
"Section: 2 Jugglers, 3 Objects, Period 2",,,,,,
,3p 0,2,2,3,1,http://prech.ac/2:3p0
,2p 1,2,2,3,1,http://prech.ac/2:2p1
"Section: 2 Jugglers, 3 Objects, Period 4",,,,,,
,2 2 1p 1,4,2,3,1,http://prech.ac/2:221p1
,2 2p 2 0,4,2,3,1,http://prech.ac/2:22p20
,2 2p 1 1,4,2,3,1,http://prech.ac/2:22p11
,2p 2p 1 1p,4,2,3,3,http://prech.ac/2:2p2p11p
,2p 2 1p 1p,4,2,3,3,http://prech.ac/2:2p21p1p
,3p 1p 1 1p,4,2,3,3,http://prech.ac/2:3p1p11p
,3 1 1p 1,4,2,3,1,http://prech.ac/2:311p1
,3p 1 1 1,4,2,3,1,http://prech.ac/2:3p111
,3p 2 0 1,4,2,3,1,http://prech.ac/2:3p201
,3 0 2p 1,4,2,3,1,http://prech.ac/2:302p1
,3 0 2 1p,4,2,3,1,http://prech.ac/2:3021p
,4p 0 1 1,4,2,3,1,http://prech.ac/2:4p011
,4 0 1 1p,4,2,3,1,http://prech.ac/2:4011p
,4 1 1p 0,4,2,3,1,http://prech.ac/2:411p0
"Section: 3 Objects, French Section",,,,,,
,2 2 1p 1,4,2,3,1,http://prech.ac/2:221p1
,3 1 1p 1,4,2,3,1,http://prech.ac/2:311p1
,3b 1 1p 1,4,2,3,1,http://prech.ac/2:3b11p1
,2 2b 1p 1,4,2,3,1,http://prech.ac/2:22b1p1
,2 2 1p 1,4,2,3,1,http://prech.ac/2:221p1
,3 1 1p 1,4,2,3,1,http://prech.ac/2:311p1
,3p 1 1 1,4,2,3,1,http://prech.ac/2:3p111
,2 2p 1 1,4,2,3,1,http://prech.ac/2:22p11
,2 2 1p 1,4,2,3,1,http://prech.ac/2:221p1
,3 1 1p 1,4,2,3,1,http://prech.ac/2:311p1
,2 2 1p 1,4,2,3,1,http://prech.ac/2:221p1
,3 1 3p 1 1 1 1 1,8,2,3,1,http://prech.ac/2:313p11111
,3 1 2 2p 1 1 1 1,8,2,3,1,http://prech.ac/2:3122p1111
